Run,Name,Annual_Prod,"Climate change, short term",Total human health,Total ecosystem quality,"Climate change, short term (ratio)",Total human health (ratio),Total ecosystem quality (ratio)
0,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,ALKALINE_ELECTROLYSIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,AL_MAKING,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,AL_MAKING_HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,AN_DIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,AN_DIG_SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,ATR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,ATR_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BIOGAS_ATR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BIOGAS_ATR_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BIOGAS_BIOMETHANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BIOGAS_SMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BIOGAS_SMR_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BIOMASS_GAS_EF_H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BIOMASS_GAS_EF_H2_CCS,110.613310690405,35319.331617726115,0.3423308046110371,661268.8440633281,4.354078763976672e-06,4.088523813415993e-06,7.234908071989742e-05
0,BIOMASS_GAS_FB_H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BIOMASS_GAS_FB_H2_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BUS_BIODIESEL_B100_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BUS_BIODIESEL_B20_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BUS_CNG_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BUS_DIESEL_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BUS_EV_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BUS_FC_H2_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BUS_GASOLINE_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BUS_HY_DIESEL_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,BUS_PROPANE_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_BIODIESEL_B100_ELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_BIODIESEL_B100_LD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_BIODIESEL_B100_MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_BIODIESEL_B100_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_BIODIESEL_B20_ELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_BIODIESEL_B20_LD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_BIODIESEL_B20_MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_BIODIESEL_B20_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_CNG_ELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_CNG_LD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_CNG_MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_CNG_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_DIESEL_ELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_DIESEL_LD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_DIESEL_MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_DIESEL_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_ETOH_E10_ELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_ETOH_E10_LD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_ETOH_E10_MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_ETOH_E10_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_ETOH_E85_ELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_ETOH_E85_LD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_ETOH_E85_MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_ETOH_E85_SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_EV_ELD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,CAR_EV_LD,6645.344000000004,263831741.61152884,2116.0317844065116,274426017.1389366,0.03252451648425886,0.02527218183102482,0.030024807979193803
