Name,Flow,Comment,ESM efficiency,LCA input unit,LCA input product,LCA input quantity,Output conversion factor,LCA output unit,ESM output unit,Input conversion factor,LCA efficiency,efficiency_ratio
AN_DIG,['WET_BIOMASS'],,0.29886431560071725,kilogram,manure,37.18543446531983,0.10047827659659983,cubic meter,kilowatt hour,0.25263157894736843,0.06761492940631597,0.22623955379353325
AN_DIG_SI,['WET_BIOMASS'],,0.12950012950012948,kilogram,manure,37.18543446531983,0.25119569149149956,cubic meter,kilowatt hour,0.25263157894736843,0.02704597176252639,0.20884899395022882
ATR,['NG_HP'],,0.648508430609598,cubic meter,natural gas,4.356143282451772,0.030030030030030033,kilogram,kilowatt hour,0.09824437305353337,0.7510169915350762,1.1580682009470875
ATR_CCS,['NG_HP'],,0.6317119393556538,cubic meter,natural gas,4.356155634155141,0.030030030030030033,kilogram,kilowatt hour,0.09824437305353337,0.7510148620567277,1.1888565266358
BIOMASS_GAS_EF_H2,['WOOD'],,0.4746084480303749,kilogram,wood chips,11.6966,0.030030030030030033,kilogram,kilowatt hour,0.2336448598130841,0.6651825172935468,1.4015395639375032
BIOMASS_GAS_EF_H2_CCS,['WOOD'],,0.41288191577208916,kilogram,wood chips,11.6966,0.030030030030030033,kilogram,kilowatt hour,0.2336448598130841,0.6651825172935468,1.6110720568849706
BIOMASS_GAS_FB_H2,['WOOD'],,0.3756574004507889,kilogram,wood chips,11.6966,0.030030030030030033,kilogram,kilowatt hour,0.2336448598130841,0.6651825172935468,1.7707158610354217
BIOMASS_GAS_FB_H2_CCS,['WOOD'],,0.32679738562091504,kilogram,wood chips,11.6966,0.030030030030030033,kilogram,kilowatt hour,0.2336448598130841,0.6651825172935468,2.0354585029182535
BUS_BIODIESEL_B100_SD,['BIO_DIESEL'],,3.0550875939046795,kilogram,diesel,0.03191671691845631,1.0,person kilometer,person kilometer,0.08453085376162299,2.6484821097856024,0.8669087312159851
BUS_BIODIESEL_B20_SD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",3.0550875939046795,kilogram,diesel,0.06383343383691262,1.0,person kilometer,person kilometer,0.08453085376162299,1.3242410548928012,0.43345436560799255
BUS_CNG_SD,['NG_HP'],,2.7051049118406265,kilogram,natural gas,0.02972768681869001,1.0,person kilometer,person kilometer,0.07633587786259542,2.567837798082645,0.9492562698189101
BUS_DIESEL_SD,['DIESEL'],,3.0550875939046795,kilogram,diesel,0.03191671691845631,1.0,person kilometer,person kilometer,0.08453085376162299,2.6484821097856024,0.8669087312159851
BUS_GASOLINE_SD,['GASOLINE'],,2.1186440677966103,kilogram,diesel,0.03191671691845631,1.0,person kilometer,person kilometer,0.08453085376162299,2.6484821097856024,1.2500835558188041
BUS_HY_DIESEL_SD,['DIESEL'],,4.630303350865336,kilogram,diesel,0.02948408971897853,1.0,person kilometer,person kilometer,0.08453085376162299,2.8669989328926633,0.6191816638443057
BUS_PROPANE_SD,"['PROPANE', 'TRANSPORT_FUEL']","Natural gas input accepted, direct emissions adjusted accordingly",2.1186440677966103,kilogram,natural gas,0.02972768681869001,1.0,person kilometer,person kilometer,0.07633587786259542,2.567837798082645,1.2120194406950082
CAR_BIODIESEL_B100_ELD,['BIO_DIESEL'],,2.708705781502272,kilogram,diesel,0.05007908371766449,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,2.076175169517363,0.7664823487643232
CAR_BIODIESEL_B100_LD,['BIO_DIESEL'],,2.708705781502272,kilogram,diesel,0.05007908371766449,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,2.076175169517363,0.7664823487643232
CAR_BIODIESEL_B100_MD,['BIO_DIESEL'],,2.708705781502272,kilogram,diesel,0.05007908371766449,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,2.076175169517363,0.7664823487643232
CAR_BIODIESEL_B100_SD,['BIO_DIESEL'],,2.708705781502272,kilogram,diesel,0.05007908371766449,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,2.076175169517363,0.7664823487643232
CAR_BIODIESEL_B20_ELD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",2.708705781502272,kilogram,diesel,0.10015816743532897,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,1.0380875847586815,0.3832411743821616
CAR_BIODIESEL_B20_LD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",2.708705781502272,kilogram,diesel,0.10015816743532897,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,1.0380875847586815,0.3832411743821616
CAR_BIODIESEL_B20_MD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",2.708705781502272,kilogram,diesel,0.10015816743532897,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,1.0380875847586815,0.3832411743821616
CAR_BIODIESEL_B20_SD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",2.708705781502272,kilogram,diesel,0.10015816743532897,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,1.0380875847586815,0.3832411743821616
CAR_CNG_ELD,['NG_HP'],,2.0683439959607095,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,0.90731672661432
CAR_CNG_LD,['NG_HP'],,2.0683439959607095,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,0.90731672661432
CAR_CNG_MD,['NG_HP'],,2.0683439959607095,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,0.90731672661432
CAR_CNG_SD,['NG_HP'],,2.0683439959607095,kilogram,natural gas,0.05003249130028618,0.8130081300813008,kilometer,person kilometer,0.07633587786259542,1.8766431039274531,0.90731672661432
CAR_DIESEL_ELD,['DIESEL'],,2.708705781502272,kilogram,diesel,0.05007908371766449,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,2.076175169517363,0.7664823487643232
CAR_DIESEL_LD,['DIESEL'],,2.708705781502272,kilogram,diesel,0.05007908371766449,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,2.076175169517363,0.7664823487643232
CAR_DIESEL_MD,['DIESEL'],,2.708705781502272,kilogram,diesel,0.05007908371766449,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,2.076175169517363,0.7664823487643232
CAR_DIESEL_SD,['DIESEL'],,2.708705781502272,kilogram,diesel,0.05007908371766449,0.8130081300813008,kilometer,person kilometer,0.08453085376162299,2.076175169517363,0.7664823487643232
CAR_ETOH_E10_ELD,['GASOLINE'],,2.100840336134454,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.8378683023020774
CAR_ETOH_E10_LD,['GASOLINE'],,2.100840336134454,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.8378683023020774
CAR_ETOH_E10_MD,['GASOLINE'],,2.100840336134454,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.8378683023020774
CAR_ETOH_E10_SD,['GASOLINE'],,2.100840336134454,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.8378683023020774
CAR_ETOH_E85_ELD,['GASOLINE'],,12.658227848101266,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.13905797454173136
CAR_ETOH_E85_LD,['GASOLINE'],,12.658227848101266,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.13905797454173136
CAR_ETOH_E85_MD,['GASOLINE'],,12.658227848101266,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.13905797454173136
CAR_ETOH_E85_SD,['GASOLINE'],,12.658227848101266,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.13905797454173136
CAR_GASOLINE_ELD,['GASOLINE'],,2.3420379044260087,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.7515794353789934
CAR_GASOLINE_LD,['GASOLINE'],,2.3420379044260087,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.7515794353789934
CAR_GASOLINE_MD,['GASOLINE'],,2.3420379044260087,kilogram,petrol,0.05794140146871106,0.8130081300813008,kilometer,person kilometer,0.08291873963515754,1.7602275258447007,0.7515794353789934
